Date,Open,High,Low,Close,Volume
2020-03-24,196.27,207.21,196.21,206.64,14123621
2020-03-25,210.57,220.17,205.32,212.06,17556067
2020-03-26,214.43,225.87,214.01,225.07,16071887
2020-03-27,217.61,223.26,214.57,216.35,10545574
2020-03-30,217.36,223.72,215.1,223.1,7691810
2020-03-31,221.95,224.75,218.44,219.23,8426574
2020-04-01,210.65,214.78,207.77,209.38,8570347
2020-04-02,208.31,214.79,207.18,213.96,8231894
2020-04-03,212.73,214.55,208.69,210.6,6664520
2020-04-06,218.95,227.91,218.12,226.53,10322481
2020-04-07,235.46,236.16,226.45,226.6,10857730
2020-04-08,229.14,235.25,226.84,234.33,7010161
2020-04-09,237.84,240.19,235.1,237.14,9418378
2020-04-13,236.41,236.69,230.96,233.96,6761902
2020-04-14,238.7,240.47,236.88,239.68,5391925
2020-04-15,234.48,236.58,232.39,235.08,6828004
2020-04-16,235.7,236.06,232.18,235.34,6126358
2020-04-17,241.6,242.66,238.25,242.43,5924520
2020-04-20,238.24,241.11,236.26,236.64,7357417
2020-04-21,231.33,233.34,229.41,230.22,6571408
2020-04-22,234.4,236.27,233.39,234.77,4323892
2020-04-23,235.51,238.92,234.83,235.07,6364822
2020-04-24,236.61,238.33,234.2,237.83,3572511
2020-04-27,239.12,242.19,238.45,241.32,3632509
2020-04-28,245.01,245.16,240.36,241.09,4709897
2020-04-29,245.48,247.66,244.2,246.45,5015346
2020-04-30,244.2,245.17,241.91,243.22,4928857
2020-05-01,239.58,240.33,236.5,237.28,4723466
2020-05-04,235.21,237.75,233.64,237.42,3845484
2020-05-05,240.02,241.74,238.7,238.8,3143506
2020-05-06,240.34,240.54,236.6,236.86,3082265
2020-05-07,239.24,241.18,238.55,238.91,3411516
2020-05-08,242.27,243.8,241.34,243.62,3904446
2020-05-11,241.68,243.94,241,242.56,2742952
2020-05-12,243.81,244.14,237.94,238.08,6433919
2020-05-13,236.96,237.5,231.02,232.82,7531319
2020-05-14,230.08,236.76,228.3,236.75,6964490
2020-05-15,234.16,237.25,233.41,236.91,4811095
2020-05-18,243.51,247.2,243.36,245.93,5234302
2020-05-19,245.45,246.02,242.07,242.22,4404718
2020-05-20,245.4,246.58,244.73,245.73,3280550
2020-05-21,245.55,247.38,243.88,245.02,3378211
2020-05-22,244.91,245.1,243.17,244.88,2521101
2020-05-26,250.84,252.02,249.88,250.25,4872320
2020-05-27,253.73,255.79,250.33,255.77,5326092
2020-05-28,257.87,257.94,253.89,254.35,4971255
2020-05-29,253.27,255.32,250.68,254.29,5132697
2020-06-01,253.78,255.55,252.7,255.27,2079746
2020-06-02,256.55,257.92,255.71,257.85,3045777
2020-06-03,260.35,264,259.66,263.17,5184539
2020-06-04,262.37,264.43,261.38,263.33,3937053
2020-06-05,270.4,273.95,269.79,271.54,7866818
2020-06-08,272.9,276.38,272.9,276.28,4667603
2020-06-09,273.24,275.02,272.13,273.38,4632645
2020-06-10,273.2,274.18,270.01,270.46,6531248
2020-06-11,262.14,263.51,251.38,252.03,14257754
2020-06-12,259,260.32,251.43,256.74,9817238
2020-06-15,250.29,259.6,249.1,258.35,7421335
2020-06-16,267.09,267.14,258.69,263.82,9238017
2020-06-17,264.61,264.7,261.26,261.82,3669349
2020-06-18,260.04,262.26,259.11,261.45,3268725
2020-06-19,264.21,264.46,257.61,258.8,5852615
2020-06-22,257.88,260.58,256.68,260.32,2823468
2020-06-23,262.83,263.15,261.02,261.5,2948032
2020-06-24,259.22,259.52,252.94,254.63,5903533
2020-06-25,253.34,257.71,252.06,257.44,4312300
2020-06-26,255.65,256.05,249.7,250.38,5331447
2020-06-29,252.18,256.12,250.95,255.91,3759039
2020-06-30,255.07,259.05,254.72,257.87,3667863
2020-07-01,258.87,260.26,257.14,257.31,3575294
2020-07-02,261.15,262.17,257.88,258.42,3829965
2020-07-06,262.16,263.14,260.87,263,2989142
2020-07-07,261.1,261.85,258.78,259.04,2828663
2020-07-08,259.64,261.19,258.25,260.72,2837849
2020-07-09,260.87,261.19,255.35,257.24,3995584
2020-07-10,257.2,261.16,256.46,260.82,3110122
2020-07-13,263.06,266.52,260.58,261.04,4875970
2020-07-14,260.54,267.05,260.1,266.59,7614334
